zip_code,cbsa_sub,area_name,sdda_2023
53578,METRO31540N55021,"Columbia County, WI HUD Metro FMR Area",0
96084,METRO39820M39820,"Redding, CA MSA",0
80022,METRO19740M19740,"Denver-Aurora-Lakewood, CO MSA",0
80012,METRO19740M19740,"Denver-Aurora-Lakewood, CO MSA",0
32536,METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area",0
80110,METRO19740M19740,"Denver-Aurora-Lakewood, CO MSA",0
80223,METRO19740M19740,"Denver-Aurora-Lakewood, CO MSA",0
32569,METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area",0
80024,METRO19740M19740,"Denver-Aurora-Lakewood, CO MSA",0
30548,METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",0
3070,METRO31700N33011,"Hillsborough County, NH (part) HUD Metro FMR Area",0
30332,METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",0
18424,METRO20700M20700,"East Stroudsburg, PA MSA",0
93307,METRO12540M12540,"Bakersfield, CA MSA",0
6516,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",0
6385,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",0
95948,METRO17020M17020,"Chico, CA MSA",0
93620,METRO32900M32900,"Merced, CA MSA",0
93527,METRO12540M12540,"Bakersfield, CA MSA",0
92281,METRO20940M20940,"El Centro, CA MSA",0
93620,METRO23420M23420,"Fresno, CA MSA",0
93665,METRO32900M32900,"Merced, CA MSA",0
93207,METRO47300M47300,"Visalia-Porterville, CA MSA",0
93260,METRO47300M47300,"Visalia-Porterville, CA MSA",0
93528,METRO12540M12540,"Bakersfield, CA MSA",0
93276,METRO12540M12540,"Bakersfield, CA MSA",0
70817,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",0
78702,METRO12420M12420,"Austin-Round Rock, TX MSA",0
78645,METRO12420M12420,"Austin-Round Rock, TX MSA",0
1038,METRO44140M44140,"Springfield, MA HUD Metro FMR Area",0
1243,METRO44140M44140,"Springfield, MA HUD Metro FMR Area",0
64788,METRO28140N29013,"Bates County, MO HUD Metro FMR Area",0
63017,METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",0
48314,METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",0
48428,METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",0
99030,METRO44060M44060,"Spokane, WA HUD Metro FMR Area",0
55124,METRO33460M33460,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",0
55410,METRO33460M33460,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",0
55438,METRO33460M33460,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",0
89703,METRO16180M16180,"Carson City, NV MSA",0
97535,METRO32780M32780,"Medford, OR MSA",0
71603,METRO38220M38220,"Pine Bluff, AR MSA",0
97116,METRO38900M38900,"Portland-Vancouver-Hillsboro, OR-WA MSA",0
97067,METRO38900M38900,"Portland-Vancouver-Hillsboro, OR-WA MSA",0
30815,METRO12260M12260,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",0
94603,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",0
60451,METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",0
94602,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",0
18612,METRO42540M42540,"Scranton--Wilkes-Barre, PA MSA",0
60538,METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",0
45118,METRO17140MM1220,"Brown County, OH HUD Metro FMR Area",0
6111,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",0
